date,open,high,low,close,volume
2015-08-18,23.22,23.38,22.9,0.5609,287082237
2015-08-19,23.05,23.305,22.74,0.5588,249273678
2015-08-20,22.73,22.84,22.05,0.5386,426933196
2015-08-21,22.0,22.37,21.45,0.5218,382665556
2015-08-24,20.27,21.83,20.0,0.5033,682282793
2015-08-25,21.62,21.7,20.28,0.4929,622684434
2015-08-26,20.94,21.83,20.78,0.5301,614977594
2015-08-27,22.04,22.64,21.91,0.55,463763195
2015-08-28,22.63,22.87,22.465,0.5524,320945277
2015-08-31,22.62,22.78,22.385,0.5464,219352398
2015-09-01,21.83,22.2,21.4,0.524,353408796
2015-09-02,22.15,22.22,21.78,0.5398,344042597
2015-09-03,22.54,22.65,22.23,0.5413,262557517
2015-09-04,21.89,22.24,21.74,0.5286,288009797
2015-09-08,22.28,22.77,22.192,0.5512,238448718
2015-09-09,22.75,22.94,22.18,0.5403,289393957
2015-09-10,22.1,22.86,21.995,0.5488,357075836
2015-09-11,22.33,22.8,22.235,0.5505,301584317
2015-09-14,22.76,22.83,22.57,0.5515,192465438
2015-09-15,22.7,23.06,22.63,0.5575,327976477
2015-09-16,22.9,23.23,22.725,0.5614,173507358
2015-09-17,23.5,23.71,23.26,0.5665,268710757
2015-09-18,22.99,23.49,22.85,0.566,326410197
2015-09-21,23.32,23.58,23.2,0.5719,281864637
2015-09-22,23.02,23.18,22.765,0.5563,228356918
2015-09-23,22.91,23.14,22.82,0.559,161633958
2015-09-24,22.86,23.68,22.5,0.5697,382441236
2015-09-25,23.73,24.07,23.38,0.5738,369690716
2015-09-28,23.61,23.755,23.15,0.5663,395583036
2015-09-29,23.55,23.75,23.22,0.5763,380734916
2015-09-30,23.93,24.68,23.79,0.5991,556381554
2015-10-01,24.65,24.72,23.47,0.5874,489297195
2015-10-02,24.04,24.801,23.79,0.6027,386145556
2015-10-05,24.96,25.73,24.83,0.6178,482022795
2015-10-06,25.15,25.86,25.05,0.6258,454421195
2015-10-07,25.81,26.28,25.39,0.6324,310151957
2015-10-08,25.91,26.24,25.47,0.636,460069595
2015-10-09,26.03,26.28,25.58,0.6336,423248396
2015-10-12,26.1,26.5,25.905,0.6404,227589078
2015-10-13,26.14,26.555,26.05,0.6416,298442837
2015-10-14,26.43,27.785,26.4,0.665,612190394
2015-10-15,27.41,27.99,27.13,0.6667,526045995
2015-10-16,27.52,28.12,27.45,0.6771,448395996
2015-10-19,27.95,28.075,27.49,0.6759,294711197
2015-10-20,27.69,27.9,27.48,0.6749,264824557
2015-10-21,27.94,28.11,27.36,0.6662,386681956
2015-10-22,27.73,28.49,27.69,0.6902,306883637
2015-10-23,28.65,28.78,28.22,0.6949,381774276
2015-10-26,28.61,28.68,28.2,0.6917,247437398
2015-10-27,28.32,28.618,28.3,0.6912,208267118
2015-10-28,28.62,28.67,28.2,0.6968,217034078
2015-10-29,28.21,28.5,27.63,0.6727,327167077
